meas_min,argu_min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_max,argu_max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_default,argu_default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,type
ChangeInsulationRValueForExteriorWalls,r_value,5.7,4.5,2.01,5.53,4.09,5.53,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,ChangeInsulationRValueForExteriorWalls,r_value,12.4,5.7,5.7,5.7,5.7,5.7,9.08,7.84,8.72,10.03,10.03,13.23,11.72,15.1,20.02,ChangeInsulationRValueForExteriorWalls,r_value,12.4,4.5,2.01,5.53,4.09,5.53,9.08,7.84,8.72,10.03,10.03,13.23,11.72,15.1,20.02,3
ChangeInsulationRValueForRoofs,r_value_roof,12.4,13.3,13.3,12.76,13.3,10.24,13.3,13.3,13.3,12.6,12.6,12.6,12.6,12.6,12.6,ChangeInsulationRValueForRoofs,r_value_roof,13.3,14.02,20.64,13.3,19.68,13.3,16.14,15.83,14.52,17.74,18.46,21.06,19.31,23.89,31.14,ChangeInsulationRValueForRoofs,r_value_roof,12.4,14.02,20.64,12.76,19.68,10.24,16.14,15.83,14.52,17.74,18.46,21.06,19.31,23.89,31.14,3
ChangeUValueandSHGCOfWindows,window_u_value_ip,0.6,0.6,0.6,0.6,0.6,0.6,0.59,0.6,0.6,0.58,0.58,0.52,0.52,0.52,0.52,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,0.72,1.03,0.72,0.6,0.72,0.72,0.59,0.59,0.58,0.58,0.58,0.58,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,0.72,1.03,0.72,0.59,0.72,0.72,0.59,0.59,0.52,0.52,0.52,0.52,2
ChangeUValueandSHGCOfWindows,window_shgc,0.25,0.25,0.25,0.26,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.49,ChangeUValueandSHGCOfWindows,window_shgc,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.62,0.62,0.62,0.62,0.62,0.62,ChangeUValueandSHGCOfWindows,window_shgc,0.25,0.25,0.25,0.26,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.62,2
ReplaceLightsInSpaceTypeWithLPD,lpd,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,ReplaceLightsInSpaceTypeWithLPD,lpd,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.15,ReplaceLightsInSpaceTypeWithLPD,lpd,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,3
SetHeatingandCoolingSizingFactors,htg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetHeatingandCoolingSizingFactors,clg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetWaterHeaterEfficiency,heater_thermal_efficiency,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,4
AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AddOverhangsByProjectionFactor,projection_factor,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ChangeOutdoorAir,design_spec_outdoor_air_per_person,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,ChangeOutdoorAir,design_spec_outdoor_air_per_person,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,ChangeOutdoorAir,design_spec_outdoor_air_per_person,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,1
